subject_id,session,gesture,trial,label,emg_rms,median_freq,fatigue_index,tremor_band_power,peak_tremor_freq
grabmyo_p10,1,10,1,0,0.030681837613004193,120.5,-0.005538560918317429,1.2800880548800568e-05,8.0
grabmyo_p10,1,10,2,0,0.07321925073717328,120.0,0.009457189028642437,5.136679708666774e-05,8.0
grabmyo_p10,1,10,3,0,0.060230676982335175,112.0,2.904435276444243e-05,5.188624367965581e-05,8.0
grabmyo_p10,1,10,4,0,0.0918180943508286,118.0,-0.022041477608766805,8.506181874615485e-05,8.0
grabmyo_p10,1,10,5,0,0.099036910474467,110.0,0.0084705354432636,0.00013605198925422768,8.0
grabmyo_p10,1,10,6,0,0.11468542993695133,104.5,0.013179004540769427,0.00013583297870723614,8.0
grabmyo_p10,1,10,7,0,0.08679056750185118,106.0,0.03986880362355008,6.553208591043336e-05,8.0
grabmyo_p10,1,11,1,0,0.2484346215635222,107.0,-0.0553729825206936,0.0006164606201730855,8.0
grabmyo_p10,1,11,2,0,0.239036851864706,114.5,-0.015246054722806383,0.0006025104572083725,8.0
grabmyo_p10,1,11,3,0,0.21162121946121554,110.0,0.04089170116587571,0.0004577255028180626,8.0
grabmyo_p10,1,11,4,0,0.21209376530847598,118.0,0.02224014097712818,0.00041157066304404273,8.0
grabmyo_p10,1,11,5,0,0.19034026598140838,112.5,0.08621842837978516,0.00035251111568944025,8.0
grabmyo_p10,1,11,6,0,0.20677663160310616,115.5,0.00434473325132966,0.0004820014528989073,8.0
grabmyo_p10,1,11,7,0,0.18602569203099595,115.0,0.06022651861441656,0.0003269961051219238,8.0
grabmyo_p10,1,12,1,0,0.12632390294561685,167.5,-0.046762033971633046,0.00012000987283656847,8.0
grabmyo_p10,1,12,2,0,0.1339958547175223,151.5,-0.009655168098118241,0.00010997616506146301,8.0
grabmyo_p10,1,12,3,0,0.13590396513871303,156.0,-0.037992974657798786,0.00013947954083361506,8.0
grabmyo_p10,1,12,4,0,0.13932635420382972,153.0,-0.013639779658358393,0.00013840660640422085,8.0
grabmyo_p10,1,12,5,0,0.08293456522583188,158.5,-0.00056845711417545,4.897626524024355e-05,8.0
grabmyo_p10,1,12,6,0,0.11252073045183439,145.0,0.01355420148711656,0.000160112748981473,8.0
grabmyo_p10,1,12,7,0,0.10625898969982489,155.5,0.027137132771497204,0.00011170165204791002,8.0
grabmyo_p10,1,13,1,0,0.057755793828755606,206.5,-0.021581455513165832,2.1653304510888148e-05,8.0
grabmyo_p10,1,13,2,0,0.08975270769274077,191.5,-0.014922001945120287,5.1706663517541145e-05,8.0
grabmyo_p10,1,13,3,0,0.08752257054028308,193.5,-0.0152449293243339,5.0218712969067695e-05,8.0
grabmyo_p10,1,13,4,0,0.09018084215891371,195.0,-0.02280489613775048,6.186535445315502e-05,8.0
grabmyo_p10,1,13,5,0,0.08394324129729483,183.5,-0.02173461232590737,6.059125462394816e-05,8.0
grabmyo_p10,1,13,6,0,0.08370638219282753,195.5,-0.019156291108260233,6.433158550479411e-05,8.0
grabmyo_p10,1,13,7,0,0.0879870085204611,193.0,0.021726906483785863,4.510031844157778e-05,8.0
grabmyo_p10,1,14,1,0,0.02594829909622452,95.5,-0.006564394445529581,7.929879230577692e-06,8.0
grabmyo_p10,1,14,2,0,0.10089321737889059,157.5,-0.00427146323686509,0.00015547415568442288,8.0
grabmyo_p10,1,14,3,0,0.06625713882729423,134.5,-0.0057995134568611904,6.122172619986146e-05,8.0
grabmyo_p10,1,14,4,0,0.06536342058137601,117.5,-0.01414056848213442,4.8419731140101545e-05,8.0
grabmyo_p10,1,14,5,0,0.05355981713202253,127.5,1.3884574890240479e-05,3.3638656618610686e-05,8.0
grabmyo_p10,1,14,6,0,0.04355497242803899,100.5,-0.0040208131437204486,2.1800552115872818e-05,8.0
grabmyo_p10,1,14,7,0,0.06316998420223897,116.5,0.021654154693171473,4.825211457781427e-05,8.0
grabmyo_p10,1,15,1,0,0.059068722961428996,108.0,-0.01655251088026749,3.208529095392306e-05,8.0
grabmyo_p10,1,15,2,0,0.12003035728375251,130.5,-0.00589505161180791,0.00014227054810834875,8.0
grabmyo_p10,1,15,3,0,0.10055056239249208,106.5,-0.004890948750950104,0.00011473521536249051,8.0
grabmyo_p10,1,15,4,0,0.09574271941627624,115.0,-0.011792637778039858,8.895873160891753e-05,8.0
grabmyo_p10,1,15,5,0,0.0804763718556463,120.5,0.016969755382552423,7.120301084061022e-05,8.0
grabmyo_p10,1,15,6,0,0.10033818929838273,113.0,0.039382624929197224,0.00013153093745548353,8.0
grabmyo_p10,1,15,7,0,0.08405917277678979,116.0,0.010251091853876494,6.767423568903742e-05,8.0
grabmyo_p10,1,16,1,0,0.05220994100074676,88.5,0.002410267244805239,3.109767375526938e-05,8.0
grabmyo_p10,1,16,2,0,0.1172027917244137,116.5,0.023182246570365158,0.00011943635810198402,8.0
grabmyo_p10,1,16,3,0,0.07909046827271096,98.0,-0.003186515198695712,7.116509405021837e-05,8.0
grabmyo_p10,1,16,4,0,0.06725783371547683,98.0,0.008951908113631165,4.784123440223924e-05,8.0
grabmyo_p10,1,16,5,0,0.08331440061346246,102.5,0.038676104595259886,6.065925465090451e-05,8.0
grabmyo_p10,1,16,6,0,0.1523480866327172,98.5,0.05504430601614968,0.00020111994635276995,8.0
grabmyo_p10,1,16,7,0,0.13465415134902115,100.5,0.005082015204486757,0.0001855495925160403,8.0
grabmyo_p10,1,17,1,0,0.004667961800088657,65.0,0.00025756296724607433,2.198153282670301e-07,8.0
grabmyo_p10,1,17,2,0,0.004955697132751517,65.5,7.066282247520977e-05,2.4700271275639366e-07,8.0
grabmyo_p10,1,17,3,0,0.005921155877689965,80.0,0.00010432760380295114,3.008586979686755e-07,8.0
grabmyo_p10,1,17,4,0,0.009215030072354666,97.0,-0.00025061161474731125,1.588699034399332e-06,8.0
grabmyo_p10,1,17,5,0,0.010163087801284177,103.0,-0.0002210486401315393,9.786797860115334e-07,8.0
grabmyo_p10,1,17,6,0,0.009760642988485063,77.5,-0.0004712556789178463,1.5966978597661274e-06,8.0
grabmyo_p10,1,17,7,0,0.007811625978764806,84.0,3.230463184216467e-06,2.4614998946377545e-07,8.0
grabmyo_p10,1,1,1,0,0.023290474733697393,78.5,-0.0011479862210998606,6.033653214222741e-06,8.0
grabmyo_p10,1,1,2,0,0.0232014950245108,56.0,-0.014273362657517347,4.835874782575544e-05,8.0
grabmyo_p10,1,1,3,0,0.0570182345833818,84.5,7.590454817206363e-05,3.607942405433854e-05,8.0
grabmyo_p10,1,1,4,0,0.07612773249224425,97.0,-0.006265161668523924,5.50580968541774e-05,8.0
grabmyo_p10,1,1,5,0,0.04591454889112554,100.0,0.012560643399893484,1.776123681344971e-05,8.0
grabmyo_p10,1,1,6,0,0.06507235731218507,92.0,0.013903633747035378,5.107116983611229e-05,8.0
grabmyo_p10,1,1,7,0,0.1277988126136929,97.5,0.0727258348437052,0.00023536827296974236,8.0
grabmyo_p10,1,2,1,0,0.030475496934864385,88.5,-0.011554684480968906,1.4667577891952906e-05,8.0
grabmyo_p10,1,2,2,0,0.03304854935767826,84.5,-0.013102246136226533,1.8311793620218582e-05,8.0
grabmyo_p10,1,2,3,0,0.03913091654829461,98.0,-0.005777857579411015,1.8757870121980893e-05,8.0
grabmyo_p10,1,2,4,0,0.04733016895601999,102.5,-0.008616906080311577,2.7818731720474268e-05,8.0
grabmyo_p10,1,2,5,0,0.04272613388006709,97.5,-0.005229281302365779,2.2732004705518566e-05,8.0
grabmyo_p10,1,2,6,0,0.0528310839097635,96.0,0.004910416312991451,3.111480725378937e-05,8.0
grabmyo_p10,1,2,7,0,0.07499490757281267,96.5,0.020697759945926743,6.0205415400414936e-05,8.0
grabmyo_p10,1,3,1,0,0.027267751179241566,94.5,-0.0053390908355669545,8.956053111801456e-06,8.0
grabmyo_p10,1,3,2,0,0.05258376431754733,85.5,-0.016711731349445112,3.262738359910956e-05,8.0
grabmyo_p10,1,3,3,0,0.05293539272461911,90.5,-0.010563872119800786,3.246531903397541e-05,8.0
grabmyo_p10,1,3,4,0,0.04494610145498227,101.0,-0.008363870898746902,2.3905021988939995e-05,8.0
grabmyo_p10,1,3,5,0,0.0436782173341575,100.5,-0.0007423518513574887,2.7683713994662966e-05,8.0
grabmyo_p10,1,3,6,0,0.06710708294759343,89.0,0.004600492272730979,8.461449916577168e-05,8.0
grabmyo_p10,1,3,7,0,0.07447510333712724,97.5,0.015797997023706097,7.819016279978497e-05,8.0
grabmyo_p10,1,4,1,0,0.0346902782948453,87.5,-0.00651849896230624,1.17008153088405e-05,8.0
grabmyo_p10,1,4,2,0,0.08602931057661597,85.5,0.008861689602252355,7.489988614592056e-05,8.0
grabmyo_p10,1,4,3,0,0.06213898295300817,84.0,-0.007588870647309803,4.922539474845301e-05,8.0
grabmyo_p10,1,4,4,0,0.0636932769218612,86.0,0.009595704567992714,4.114211244313307e-05,8.0
grabmyo_p10,1,4,5,0,0.06487497713362707,88.0,-0.008603206843019547,4.6446384101589086e-05,8.0
grabmyo_p10,1,4,6,0,0.06428706874031057,95.5,0.016107944487585117,4.173429637057346e-05,8.0
